code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000278,0,0,0,25000,51927,0,0,0,363264,0,0,300000,2020-7
KH-0000000279,0,0,130000,250940,208725,118500,0,16000,360150,0,0,200000,2020-7
KH-0000000280,0,0,0,101850,126051,0,47530,22162,349753,0,0,400000,2020-7
KH-0000000281,0,0,0,35000,369900,0,0,15700,349402,0,0,100000,2020-7
KH-0000000282,0,43000,35000,321074,116500,0,0,53004,340900,0,0,200000,2020-7
KH-0000000283,57230,97000,95060,36375,450244,0,0,31408,335601,0,150350,300000,2020-7
KH-0000000284,100000,25000,0,453860,362911,115250,77000,91112,328462,0,70000,1000000,2020-7
KH-0000000285,11000,132000,99000,399900,208500,0,0,24080,324532,0,155000,300000,2020-7
KH-0000000286,0,0,162000,26000,0,0,0,24796,322840,0,18000,100000,2020-7
KH-0000000287,0,0,7157,0,0,0,0,9582,313101,0,0,100000,2020-7
KH-0000000288,0,0,0,123800,0,0,0,12600,304380,0,50000,100000,2020-7
KH-0000000289,45000,0,0,0,99640,0,0,0,289220,0,41000,300000,2020-7
KH-0000000290,0,0,0,55000,62320,0,0,341888,285912,0,0,300000,2020-7
KH-0000000291,0,25000,0,47240,236520,0,0,53803,282002,0,0,300000,2020-7
KH-0000000292,0,62000,0,0,109960,0,10000,0,279394,0,0,400000,2020-7
KH-0000000293,13000,0,72000,29317,0,0,0,49133,275730,0,41000,200000,2020-7
KH-0000000294,74000,0,0,32000,386940,0,92000,91448,263760,0,0,300000,2020-7
KH-0000000295,0,0,0,0,84552,0,0,24192,256778,0,0,200000,2020-7
KH-0000000296,0,0,35000,426530,0,0,0,44045,253020,0,26000,300000,2020-7
KH-0000000297,0,48500,48500,0,361277,0,60140,156155,243354,0,33950,900000,2020-7
KH-0000000298,30000,0,0,0,0,0,0,0,241500,0,0,100000,2020-7
KH-0000000299,0,40000,0,229167,145920,0,0,147729,239940,0,0,600000,2020-7
KH-0000000300,0,0,0,188350,0,0,0,0,238665,0,35000,300000,2020-7
KH-0000000301,0,0,0,0,0,0,97000,38892,235200,0,110000,100000,2020-7
KH-0000000302,0,0,0,101000,49365,0,0,10718,229950,0,102000,200000,2020-7
KH-0000000303,18000,0,0,147000,0,0,0,40212,229680,0,30000,300000,2020-7
KH-0000000304,0,0,20000,265000,0,0,0,0,229656,0,0,200000,2020-7
KH-0000000305,0,287000,13000,142000,51300,0,120000,0,211800,0,0,200000,2020-7
KH-0000000306,0,352110,21883,38709,558747,0,0,140540,210684,0,31040,400000,2020-7
KH-0000000307,0,124378,0,66666,17600,0,0,85680,207480,0,70000,200000,2020-7
KH-0000000308,0,0,0,0,31980,0,0,0,206850,0,0,100000,2020-7
KH-0000000309,0,0,0,369570,84450,0,0,84590,202490,0,0,400000,2020-7
KH-0000000310,0,0,124000,37000,79350,0,0,9517,200898,0,0,200000,2020-7
KH-0000000311,0,0,0,70000,0,0,0,0,198210,0,0,100000,2020-7
KH-0000000312,0,0,0,657655,0,0,0,9573,198000,0,0,200000,2020-7
KH-0000000313,0,0,0,15520,146606,0,0,40051,195794,0,88270,200000,2020-7
KH-0000000314,0,0,0,0,0,107250,0,20490,191940,0,0,100000,2020-7
KH-0000000315,0,0,0,86928,0,0,35000,20340,190890,0,0,100000,2020-7
KH-0000000316,0,0,0,0,0,0,0,0,188568,0,0,100000,2020-7
KH-0000000317,0,96000,0,0,108283,0,32000,74976,182850,0,0,400000,2020-7
KH-0000000318,22000,22000,0,149750,526349,0,31000,19695,180000,0,0,400000,2020-7
KH-0000000319,0,0,0,80000,0,0,0,0,176670,0,0,100000,2020-7
KH-0000000320,0,8000,0,95000,0,0,0,22866,176448,0,0,100000,2020-7
KH-0000000321,0,0,0,31000,0,0,0,72862,176286,0,0,200000,2020-7
KH-0000000322,0,0,26000,0,0,0,0,0,174910,0,0,100000,2020-7
KH-0000000323,0,60140,0,31040,68967,0,0,8186,173552,0,31040,200000,2020-7
KH-0000000324,0,0,0,436500,1626014,0,252200,19643,171981,0,0,600000,2020-7
KH-0000000325,0,0,0,129000,106475,0,0,47610,170806,0,0,200000,2020-7
KH-0000000326,0,0,63000,31000,149080,0,0,47889,165936,0,0,300000,2020-7
KH-0000000327,0,0,0,255117,249675,0,0,35840,158760,0,50000,200000,2020-7
KH-0000000328,0,0,421950,14550,169751,0,203700,21499,156951,0,128816,200000,2020-7
KH-0000000329,0,9000,0,0,0,0,0,95360,155538,0,0,200000,2020-7
KH-0000000330,0,0,0,0,0,0,0,0,152124,0,0,100000,2020-7
KH-0000000331,0,0,36000,0,12100,0,52000,35700,149556,0,33500,200000,2020-7
KH-0000000332,0,0,0,0,0,0,0,51962,149296,0,0,200000,2020-7
KH-0000000333,0,0,0,325000,502040,111000,0,68250,145926,0,0,300000,2020-7
KH-0000000334,0,78000,0,16000,0,0,160000,72789,141880,0,0,100000,2020-7
KH-0000000335,0,0,166000,0,131176,0,0,39552,139560,0,0,100000,2020-7
KH-0000000336,0,0,0,143750,133350,73750,0,56852,139040,0,0,400000,2020-7
KH-0000000337,0,185000,0,0,83194,0,0,45430,138700,0,0,200000,2020-7
KH-0000000338,0,0,0,75000,125000,0,186000,0,135534,0,0,200000,2020-7
KH-0000000339,0,0,0,55000,86250,0,0,0,133014,0,0,300000,2020-7
KH-0000000340,0,0,0,0,0,0,0,13860,132066,0,0,100000,2020-7
KH-0000000341,0,0,0,46500,14300,0,0,23715,130920,0,0,100000,2020-7
KH-0000000342,0,22000,0,18000,92700,0,270000,62344,130830,0,70000,300000,2020-7
KH-0000000343,0,0,0,88000,0,82500,20000,0,125940,0,0,200000,2020-7
KH-0000000344,0,0,0,0,0,0,0,49472,116970,0,0,100000,2020-7
KH-0000000345,74690,45590,0,0,325155,0,0,17366,116720,0,214370,400000,2020-7
KH-0000000346,0,62000,0,209520,202725,0,48000,162004,113420,0,26000,300000,2020-7
KH-0000000347,22000,0,0,18745,208060,0,0,51452,112760,0,0,400000,2020-7
KH-0000000348,0,0,7760,0,1036029,0,384605,48312,108446,0,67900,800000,2020-7
KH-0000000349,0,0,0,0,342400,0,0,16390,105060,0,0,100000,2020-7
KH-0000000350,0,0,5220,0,58100,0,0,45225,103740,0,0,200000,2020-7
KH-0000000351,44000,732500,110000,487500,47718,0,20000,0,102570,0,0,300000,2020-7
KH-0000000352,0,0,0,0,0,0,0,22980,101790,0,13000,100000,2020-7
KH-0000000353,0,186000,0,97377,37710,0,0,0,101400,0,0,200000,2020-7
KH-0000000354,0,0,0,135000,0,0,0,31928,101010,0,0,100000,2020-7
KH-0000000355,26000,0,0,0,0,0,0,0,100000,0,0,100000,2020-7
KH-0000000356,0,0,0,0,0,0,140000,0,100000,0,0,100000,2020-7
KH-0000000357,0,0,0,0,19278,0,0,0,99840,0,0,100000,2020-7
KH-0000000358,198000,72000,0,331837,0,0,0,15847,97110,0,26000,400000,2020-7
KH-0000000359,0,104760,0,24250,0,0,0,61715,97000,0,0,100000,2020-7
KH-0000000360,37000,0,0,169080,138035,0,150000,0,96500,0,98000,300000,2020-7
KH-0000000361,0,0,190000,76000,878865,0,0,40670,95160,0,0,300000,2020-7
KH-0000000362,0,130000,59000,0,78232,0,0,0,95000,0,0,100000,2020-7
KH-0000000363,0,0,0,24000,0,0,62000,39400,94120,0,0,100000,2020-7
KH-0000000364,0,0,26000,0,45528,0,0,25130,92820,0,35000,200000,2020-7
KH-0000000365,262000,0,0,0,0,0,0,39375,91460,0,0,100000,2020-7
KH-0000000366,0,369000,26000,30000,115955,96750,104000,129766,88500,0,307000,600000,2020-7
KH-0000000367,0,0,109000,190000,895605,0,0,68376,87750,0,0,400000,2020-7
