code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,0,756000,112000,858978,1153251,0,55000,599275,3941679,700000,0,1400000,2020-11
KH-0000000002,323400,32980,0,462253,1268685,0,263840,437764,3187570,176440,135800,1300000,2020-11
KH-0000000003,71780,29100,54708,188991,988115,0,60140,237056,2152238,306113,0,1200000,2020-11
KH-0000000004,350350,0,71100,232200,264538,0,0,160660,2130363,761750,117000,800000,2020-11
KH-0000000005,0,36000,129000,310000,0,0,0,98675,2100945,145000,0,700000,2020-11
KH-0000000006,83600,452200,244150,345800,1357642,0,264100,324782,1811076,549575,11970,2200000,2020-11
KH-0000000007,0,0,0,147563,0,0,0,48034,1608493,0,135800,300000,2020-11
KH-0000000008,406600,128250,67450,1476662,2867083,0,206150,750339,1607266,1254342,109250,2300000,2020-11
KH-0000000009,30000,38179,30000,722193,1077661,0,16490,534838,1532942,747607,26000,1100000,2020-11
KH-0000000010,0,68500,45000,141025,177765,0,22000,165352,1521790,217800,0,1300000,2020-11
KH-0000000011,617890,8730,115779,322040,418749,0,397700,370411,1422735,50440,0,200000,2020-11
KH-0000000012,70300,755554,61750,852565,1425349,0,242250,303718,1350173,2837707,0,1700000,2020-11
KH-0000000013,0,279300,173318,56031,368713,0,0,285292,1316207,601798,15200,1100000,2020-11
KH-0000000014,0,1221700,298300,502883,788822,0,264100,1581265,1297574,272194,0,1600000,2020-11
KH-0000000015,0,0,132100,408172,146360,0,0,556320,1283086,271700,0,1200000,2020-11
KH-0000000016,0,0,0,253594,99636,0,0,131250,1236182,0,0,700000,2020-11
KH-0000000017,0,0,0,242000,38650,0,17000,182045,1185492,138160,16000,600000,2020-11
KH-0000000018,108640,397700,323980,24250,68630,0,76630,58458,1162149,242432,0,400000,2020-11
KH-0000000019,0,0,0,0,0,0,0,0,1144500,3160320,0,200000,2020-11
KH-0000000020,0,577635,0,213497,217137,0,16005,334702,1079473,0,0,2100000,2020-11
KH-0000000021,12610,479665,0,359870,373741,0,155200,119254,1065825,0,436500,400000,2020-11
KH-0000000022,0,473360,0,191633,1215709,0,50440,273867,1059488,162718,0,500000,2020-11
KH-0000000023,0,172175,0,214380,2831158,0,0,262157,1035016,2291019,0,900000,2020-11
KH-0000000024,0,0,0,396730,349479,0,0,109900,992807,383238,0,300000,2020-11
KH-0000000025,27992,147000,247925,214950,3127247,0,54983,124325,959150,741274,0,400000,2020-11
KH-0000000026,0,0,217000,0,522760,0,62000,127700,952984,0,0,500000,2020-11
KH-0000000027,0,143060,0,266886,43488,0,192000,339390,922640,356500,0,700000,2020-11
KH-0000000028,384000,0,87000,170250,459607,0,0,53558,917795,0,78000,700000,2020-11
KH-0000000029,140000,97000,4020,206000,0,0,95000,172136,911939,601120,78000,1100000,2020-11
KH-0000000030,0,686850,126100,484515,741965,0,0,527214,904258,759665,0,900000,2020-11
KH-0000000031,252200,0,0,520948,86807,0,53350,259365,870642,451244,0,900000,2020-11
KH-0000000032,30000,0,0,87000,452920,0,49000,75953,864610,245520,13000,400000,2020-11
KH-0000000033,82450,198850,0,700592,1824924,0,43650,271361,823052,347842,0,700000,2020-11
KH-0000000034,140000,0,225000,383000,642205,0,737000,198795,811572,83500,39000,1000000,2020-11
KH-0000000035,140650,207580,466667,488402,160481,0,135800,82140,789929,774788,33950,700000,2020-11
