code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,0,337250,0,422333,568458,0,264100,612138,120555,1607210,0,1500000,2020-9
KH-0000000002,0,417050,126350,546583,1011705,0,272175,651197,2408922,1524199,24700,1400000,2020-9
KH-0000000003,0,172175,0,126100,2941356,0,9700,287636,744240,1487504,0,1000000,2020-9
KH-0000000004,0,0,0,36860,144385,0,0,34735,331348,1323565,0,200000,2020-9
KH-0000000005,0,370000,0,453000,1692715,0,0,76546,136800,1206860,0,800000,2020-9
KH-0000000006,341440,162960,169750,1079858,1240602,0,100880,736757,1401209,1176940,0,1900000,2020-9
KH-0000000007,0,0,0,45000,0,0,0,172830,157878,1175070,0,100000,2020-9
KH-0000000008,52500,50000,123000,0,286650,0,728000,57595,81840,1031260,0,200000,2020-9
KH-0000000009,563350,242250,47500,270750,2642248,0,368600,119236,618188,975118,0,700000,2020-9
KH-0000000010,13000,73000,0,116000,763326,0,0,533444,541256,951130,0,600000,2020-9
KH-0000000011,0,92150,68870,457674,0,0,344350,272903,1027287,942374,0,900000,2020-9
KH-0000000012,0,610130,66852,683466,733340,127070,0,1035619,1557056,932869,0,1200000,2020-9
KH-0000000013,1722000,50000,0,25000,0,0,0,16464,0,900000,550000,600000,2020-9
KH-0000000014,0,387500,296000,985736,677602,0,210000,259454,671564,834040,0,500000,2020-9
KH-0000000015,0,0,0,0,0,0,0,0,0,833040,0,200000,2020-9
KH-0000000016,2005960,1739210,259960,764025,60058,0,53350,607540,0,829466,0,1700000,2020-9
KH-0000000017,0,0,0,445230,377094,0,0,84733,0,780578,164900,300000,2020-9
KH-0000000018,0,0,0,109200,0,0,0,74399,504672,778040,32000,100000,2020-9
KH-0000000019,496640,0,0,445157,1502982,0,0,44314,867742,757706,0,700000,2020-9
KH-0000000020,60140,55280,455900,97000,80972,0,0,0,0,726395,97000,100000,2020-9
KH-0000000021,0,0,0,106700,208027,0,92150,51696,261881,723368,0,300000,2020-9
KH-0000000022,0,646000,50350,532919,18981,0,0,191997,1505224,720936,26600,600000,2020-9
