code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,0,0,88000,263000,0,0,173500,0,0,2687500,0,200000,2020-3
KH-0000000002,79540,902800,60140,918678,755693,0,235710,321610,460125,1934655,230860,1800000,2020-3
KH-0000000003,0,0,106700,112909,709676,0,11640,239781,616641,1854098,0,1000000,2020-3
KH-0000000004,0,0,0,96930,0,0,0,0,0,1713990,0,100000,2020-3
KH-0000000005,0,0,0,164900,0,0,0,41962,173533,1566968,0,300000,2020-3
KH-0000000006,398670,0,583940,211460,718294,0,0,377961,578243,1516067,145500,400000,2020-3
KH-0000000007,0,454675,0,184300,524848,0,0,191974,910738,1202931,0,900000,2020-3
KH-0000000008,0,349675,300700,563990,0,0,0,10000,253170,1184818,0,800000,2020-3
KH-0000000009,21340,0,0,615126,283286,0,0,167722,281743,1177871,138710,500000,2020-3
KH-0000000010,0,200000,18000,243600,0,0,0,189440,1421779,1176450,0,700000,2020-3
KH-0000000011,0,0,0,579081,0,0,58141,184765,336127,1156481,0,300000,2020-3
KH-0000000012,31307,0,0,444374,888472,0,0,0,0,1122599,259771,200000,2020-3
KH-0000000013,135000,120500,188000,446000,0,230000,12000,114204,777392,983180,80000,200000,2020-3
KH-0000000014,203935,0,296820,132890,2314326,53350,0,196110,272947,974733,182595,800000,2020-3
KH-0000000015,25220,73720,13580,785177,228790,44620,0,439271,1618586,961153,0,800000,2020-3
KH-0000000016,0,10074,248000,153656,314019,0,0,163083,0,944406,233000,700000,2020-3
KH-0000000017,0,0,0,166000,0,0,0,59230,197574,848690,0,200000,2020-3
KH-0000000018,0,0,0,0,0,0,0,36040,27307,830786,0,300000,2020-3
KH-0000000019,0,0,0,145500,772250,0,0,44581,0,758666,31040,200000,2020-3
KH-0000000020,0,267000,849000,329000,654235,305000,172000,294596,200000,741660,352000,400000,2020-3
KH-0000000021,10670,717800,0,132114,281488,0,0,149316,1800004,741585,145500,800000,2020-3
KH-0000000022,0,0,0,237165,603936,0,62080,253617,646025,736682,0,300000,2020-3
KH-0000000023,16490,0,0,247350,334864,0,0,39256,0,723019,0,200000,2020-3
KH-0000000024,0,0,0,0,680770,0,0,0,185000,702650,16000,300000,2020-3
KH-0000000025,0,16000,266000,259300,102364,0,0,0,200000,699050,0,200000,2020-3
KH-0000000026,37000,0,0,140390,1452645,0,65000,57570,239580,684430,0,400000,2020-3
KH-0000000027,117370,0,153260,638400,1019963,0,45000,290492,100000,680475,126500,1700000,2020-3
KH-0000000028,33950,0,0,130950,155394,0,0,49926,451050,677904,33950,400000,2020-3
KH-0000000029,0,80800,63050,238400,312888,0,0,149229,196021,676832,0,600000,2020-3
KH-0000000030,29100,242500,0,112520,0,0,0,0,478462,673941,157140,200000,2020-3
KH-0000000031,0,0,0,115500,69000,0,0,0,213325,658160,0,100000,2020-3
KH-0000000032,99000,0,29000,562000,578405,0,12000,14060,0,643640,219000,700000,2020-3
KH-0000000033,0,620000,0,404531,0,0,0,302895,608941,638520,0,1500000,2020-3
KH-0000000034,35890,373450,70810,106700,138453,0,0,126263,238154,636242,33950,500000,2020-3
KH-0000000035,106000,576500,232523,485206,685203,58250,114682,443868,667869,628670,420000,900000,2020-3
KH-0000000036,0,0,0,0,1057984,0,0,31290,0,628560,0,200000,2020-3
KH-0000000037,0,0,0,244961,176007,106700,0,131473,484571,626620,192482,1100000,2020-3
KH-0000000038,0,543200,0,131270,382154,0,0,281799,858605,622687,0,900000,2020-3
KH-0000000039,0,0,45000,0,89940,0,0,102537,131875,600000,0,200000,2020-3
KH-0000000040,44000,0,49791,440925,0,0,0,14400,393784,597657,50000,300000,2020-3
KH-0000000041,0,188180,95060,93013,258067,0,0,65313,0,577635,0,800000,2020-3
KH-0000000042,0,0,0,84390,46657,0,50440,109342,556974,575783,0,300000,2020-3
KH-0000000043,0,0,61110,35890,0,0,95060,55775,0,560815,0,400000,2020-3
KH-0000000044,0,140000,0,0,723275,0,96000,55125,0,546480,0,100000,2020-3
KH-0000000045,0,0,0,128040,801968,0,0,178997,684050,542231,0,900000,2020-3
KH-0000000046,29100,760480,304580,111550,250667,0,100880,24444,224846,531259,145500,200000,2020-3
KH-0000000047,1045000,0,0,0,0,0,0,0,0,529642,2482448,200000,2020-3
KH-0000000048,0,0,0,156170,598559,0,0,440346,504621,525395,145500,900000,2020-3
KH-0000000049,0,52000,27000,137000,135545,0,145000,95388,477514,513135,151840,800000,2020-3
KH-0000000050,0,183330,29100,8730,488995,0,0,164695,280330,510220,0,800000,2020-3
KH-0000000051,0,0,0,18000,49305,0,0,0,0,496480,0,100000,2020-3
KH-0000000052,65000,68500,0,68600,98605,0,0,98825,203636,493720,0,100000,2020-3
KH-0000000053,0,72750,0,190586,0,0,0,0,54475,481838,15520,200000,2020-3
KH-0000000054,30000,190000,63000,64000,246941,0,22480,73397,316074,468720,52000,1000000,2020-3
