code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,0,0,0,38800,4693032,0,77600,149147,0,0,0,800000,2020-5
KH-0000000002,591700,0,29280,552318,2570539,0,246320,231403,800202,680940,63050,600000,2020-5
KH-0000000003,0,102820,0,0,2341105,0,9700,14356,884858,0,0,700000,2020-5
KH-0000000004,6500,188180,0,526856,2340071,0,29100,85058,887589,957512,67900,500000,2020-5
KH-0000000005,57000,1933250,0,247000,2221505,0,47500,0,173470,0,0,500000,2020-5
KH-0000000006,0,0,0,50440,1971923,0,134830,45280,164900,298760,101850,100000,2020-5
KH-0000000007,170720,168780,48500,210919,1935548,0,853600,154211,897865,295190,0,500000,2020-5
KH-0000000008,14550,21340,0,172660,1733064,0,0,273809,69355,285840,0,1100000,2020-5
KH-0000000009,0,0,0,169025,1651640,0,0,36580,0,3115471,0,500000,2020-5
KH-0000000010,0,200000,0,111000,1623119,0,0,132704,0,0,26000,600000,2020-5
KH-0000000011,0,0,0,803315,1430075,0,0,566553,1789004,4418559,0,2000000,2020-5
KH-0000000012,0,23000,85000,105000,1390133,0,0,77220,0,0,0,400000,2020-5
KH-0000000013,344350,0,199820,202309,1389009,0,428255,415394,383893,0,0,1900000,2020-5
KH-0000000014,71780,584910,563686,721533,1379572,82450,254140,1015635,2472759,785389,12610,1500000,2020-5
KH-0000000015,189150,54320,135800,0,1363321,0,70140,140683,457235,636188,0,800000,2020-5
KH-0000000016,0,0,202730,261986,1359960,0,33950,60979,0,181235,46560,500000,2020-5
KH-0000000017,0,0,144530,151530,1335975,133618,0,113660,507641,340004,75660,500000,2020-5
KH-0000000018,118340,0,0,416931,1327437,0,0,45443,302912,315328,90210,500000,2020-5
KH-0000000019,0,0,33950,218237,1255411,0,0,60897,430750,0,163930,800000,2020-5
KH-0000000020,101850,0,0,117380,1207863,0,30555,125369,829213,604260,438420,900000,2020-5
KH-0000000021,0,25220,0,0,1200851,0,0,138275,228843,158614,0,800000,2020-5
KH-0000000022,0,0,4365,863058,1192136,0,0,29537,0,449343,33950,700000,2020-5
KH-0000000023,0,299730,81480,190402,1183083,0,203700,135857,140742,0,72750,700000,2020-5
KH-0000000024,0,0,145000,110000,1134803,0,146000,163995,333100,678680,234000,200000,2020-5
KH-0000000025,0,583000,0,0,1076610,0,50000,0,0,304080,360000,400000,2020-5
KH-0000000026,0,0,0,55000,1075100,0,0,0,0,0,0,300000,2020-5
KH-0000000027,79540,64020,0,55913,1074227,0,47530,199155,933267,421251,523800,600000,2020-5
KH-0000000028,0,0,0,0,1065246,0,0,0,0,0,0,300000,2020-5
KH-0000000029,179000,0,0,240000,1064050,0,0,0,0,1072430,0,200000,2020-5
KH-0000000030,83600,144400,361000,395580,1060004,0,264100,159049,609881,143925,0,300000,2020-5
KH-0000000031,0,0,0,0,1015621,0,0,0,0,0,0,100000,2020-5
KH-0000000032,0,54320,0,73720,985118,0,19400,342514,97000,0,0,800000,2020-5
KH-0000000033,0,0,0,0,961784,0,0,14190,0,0,65000,300000,2020-5
KH-0000000034,0,0,95060,441350,943376,0,0,31393,971698,319043,0,600000,2020-5
KH-0000000035,128040,304580,158110,981019,937177,0,151320,560821,634275,548671,0,1600000,2020-5
KH-0000000036,117370,0,33950,256080,930659,0,97000,158208,716033,980428,279360,1000000,2020-5
KH-0000000037,0,46487,17460,315463,924426,0,0,56357,794523,0,0,400000,2020-5
KH-0000000038,0,15520,54320,216795,921899,0,260930,385593,1381804,403675,194000,900000,2020-5
KH-0000000039,0,192000,232000,67556,884755,0,0,153652,0,222000,0,300000,2020-5
KH-0000000040,0,0,0,0,871600,0,0,0,0,0,0,100000,2020-5
KH-0000000041,0,0,0,45000,840795,0,0,0,100000,0,0,300000,2020-5
KH-0000000042,0,50440,67900,0,830165,0,178480,44822,0,0,0,600000,2020-5
KH-0000000043,0,0,0,0,822795,0,0,0,0,100000,0,300000,2020-5
KH-0000000044,0,0,0,101501,817837,0,50440,371039,477741,0,0,900000,2020-5
KH-0000000045,0,0,0,218550,813920,0,0,0,0,0,0,200000,2020-5
KH-0000000046,0,0,0,0,797890,0,0,0,0,0,0,100000,2020-5
