code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,0,0,0,94000,5261913,0,30000,387901,325500,0,250000,1100000,2020-2
KH-0000000002,603340,354390,633604,311554,3441064,35890,152775,379090,701894,2199473,367630,900000,2020-2
KH-0000000003,0,0,0,54000,2737000,0,0,0,0,1008450,0,500000,2020-2
KH-0000000004,0,0,0,0,2582999,0,0,0,0,0,0,200000,2020-2
KH-0000000005,19000,0,0,23040,2538755,0,305500,13140,242514,681560,435000,500000,2020-2
KH-0000000006,726560,228000,541000,475100,2208319,0,0,276133,2403035,141000,45000,400000,2020-2
KH-0000000007,0,72000,46000,339000,2136941,0,133650,78593,608668,0,0,500000,2020-2
KH-0000000008,762980,285600,0,1118862,2055877,0,530440,630094,1839571,132600,1580750,700000,2020-2
KH-0000000009,668500,0,97160,548172,1846311,0,901600,112454,302992,278639,801400,1100000,2020-2
KH-0000000010,0,555000,0,12000,1797442,47000,0,102918,62400,42000,0,400000,2020-2
KH-0000000011,610000,50000,0,963600,1777050,0,50000,0,0,0,153000,200000,2020-2
KH-0000000012,0,71353,48500,639327,1691630,0,0,228597,1888745,0,242500,300000,2020-2
KH-0000000013,135000,370000,3640,0,1557470,0,0,56296,0,37620,0,700000,2020-2
KH-0000000014,0,747860,0,35100,1525475,0,269660,105782,427474,1073305,192060,800000,2020-2
KH-0000000015,0,0,0,0,1507837,0,0,0,0,0,0,300000,2020-2
KH-0000000016,244440,0,0,0,1490500,0,243470,57831,871836,0,90000,200000,2020-2
KH-0000000017,170720,282173,11916,1131990,1467852,0,191090,1557392,18915,0,0,1000000,2020-2
KH-0000000018,33000,647200,914930,1271120,1348792,0,252000,61010,408600,260000,0,500000,2020-2
KH-0000000019,0,0,0,166840,1311581,0,0,35066,0,0,0,200000,2020-2
KH-0000000020,0,0,0,0,1289655,0,45000,0,0,0,0,100000,2020-2
KH-0000000021,189150,0,0,32010,1270104,0,0,86282,0,0,3185480,300000,2020-2
KH-0000000022,110000,0,0,95000,1259210,0,0,0,0,0,221000,200000,2020-2
KH-0000000023,0,0,0,0,1215000,0,20000,0,0,0,0,100000,2020-2
KH-0000000024,82000,203730,75000,338000,1186770,0,50000,306253,0,495070,164000,400000,2020-2
KH-0000000025,0,157173,106700,410310,1171890,0,0,175730,271651,0,0,600000,2020-2
KH-0000000026,394790,323010,423350,670949,1163549,0,48500,78735,418803,534044,141620,1000000,2020-2
KH-0000000027,0,130000,0,330000,1120000,0,0,0,0,0,0,100000,2020-2
KH-0000000028,0,150000,0,248250,1096937,0,779000,0,0,0,436050,200000,2020-2
KH-0000000029,32980,179450,0,417110,1064139,0,0,346261,1456860,109455,65960,700000,2020-2
KH-0000000030,30000,0,0,0,1037059,0,0,103166,95000,806960,179000,300000,2020-2
KH-0000000031,378300,624680,29100,327219,1025116,0,0,44659,2843383,3915371,526710,1000000,2020-2
KH-0000000032,0,0,0,120000,1021840,0,0,0,115296,99000,0,300000,2020-2
KH-0000000033,0,16810,7800,206540,1001542,0,0,149820,0,0,0,400000,2020-2
KH-0000000034,0,0,0,135000,997430,0,0,0,0,0,0,200000,2020-2
KH-0000000035,0,59040,0,0,981845,0,0,0,0,0,0,100000,2020-2
KH-0000000036,327860,484515,54320,444357,962835,0,0,43631,2957443,1566397,1576750,800000,2020-2
KH-0000000037,0,209000,371600,524600,889615,0,0,106910,644250,612021,116000,800000,2020-2
KH-0000000038,110000,69000,25000,0,871255,0,0,312083,479660,734050,132000,700000,2020-2
KH-0000000039,0,41904,0,0,847407,254418,0,36731,0,118230,301310,100000,2020-2
KH-0000000040,0,0,0,0,803250,0,0,63550,0,0,0,200000,2020-2
KH-0000000041,101850,0,0,274995,790036,0,31040,174031,40978,0,602855,500000,2020-2
KH-0000000042,0,3367589,0,865638,773775,0,283100,82560,0,2365181,0,300000,2020-2
KH-0000000043,0,0,0,0,744584,0,0,0,0,0,0,100000,2020-2
KH-0000000044,0,0,0,0,735660,0,0,0,0,0,0,100000,2020-2
KH-0000000045,0,0,0,0,727320,0,70000,0,0,0,0,100000,2020-2
KH-0000000046,0,0,0,0,723270,0,0,0,0,224000,0,100000,2020-2
KH-0000000047,0,0,0,0,706210,0,0,0,0,0,0,200000,2020-2
KH-0000000048,0,31040,179450,354050,694942,0,0,115182,849274,0,0,300000,2020-2
KH-0000000049,0,0,0,0,650000,0,0,0,0,0,0,100000,2020-2
KH-0000000050,0,0,0,753600,646460,0,0,64273,672260,434620,59000,300000,2020-2
KH-0000000051,0,0,0,35000,631760,0,0,0,0,0,0,300000,2020-2
