code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,0,52000,0,85000,703626,0,0,78255,0,0,0,400000,2020-1
KH-0000000002,150000,43000,165000,144860,48545,0,0,63509,100000,0,0,200000,2020-1
KH-0000000003,0,0,18000,0,277950,0,440000,0,0,0,0,200000,2020-1
KH-0000000004,0,24250,188180,425830,1030651,0,94100,17765,622864,136537,0,600000,2020-1
KH-0000000005,0,0,0,139000,0,0,275000,176159,100000,126480,0,500000,2020-1
KH-0000000006,0,160000,0,60000,37000,25000,0,0,0,0,0,100000,2020-1
KH-0000000007,30000,555000,30000,0,0,0,0,43376,45864,62220,0,400000,2020-1
KH-0000000008,0,42000,0,160000,0,0,0,0,0,0,0,100000,2020-1
KH-0000000009,0,596000,0,0,0,0,0,0,0,0,0,300000,2020-1
KH-0000000010,0,347500,0,0,0,0,0,0,0,0,0,300000,2020-1
KH-0000000011,0,0,0,0,0,0,0,18305,0,42000,0,100000,2020-1
KH-0000000012,0,0,0,125000,57007,0,0,0,90048,0,0,200000,2020-1
KH-0000000013,0,0,0,37800,0,0,0,70950,0,0,0,100000,2020-1
KH-0000000014,1306590,571291,55290,146470,27403,0,0,143871,0,0,0,600000,2020-1
KH-0000000015,0,324000,0,63870,0,0,0,75285,422078,97920,0,500000,2020-1
KH-0000000016,30000,0,0,26000,446492,0,0,0,0,0,0,200000,2020-1
KH-0000000017,0,0,270892,479229,44216,0,0,64679,823031,0,51410,500000,2020-1
KH-0000000018,0,56280,98000,0,102426,0,0,0,0,0,0,100000,2020-1
KH-0000000019,158000,0,0,0,154436,0,691500,0,0,0,236000,300000,2020-1
KH-0000000020,397700,298275,190340,425395,28227,0,0,154556,0,0,0,500000,2020-1
KH-0000000021,132000,0,79000,168400,0,0,0,17370,0,0,236000,400000,2020-1
KH-0000000022,0,44620,11640,174600,200645,0,0,92778,228501,0,0,500000,2020-1
KH-0000000023,0,0,0,94000,17000,0,0,68340,159762,0,0,100000,2020-1
KH-0000000024,0,110110,372000,0,1260234,0,278000,14000,0,157080,119000,600000,2020-1
KH-0000000025,38000,0,98000,279000,0,0,145000,0,0,0,18000,100000,2020-1
KH-0000000026,48000,0,0,55000,249410,0,32000,0,0,0,0,200000,2020-1
KH-0000000027,0,0,0,120000,122175,0,0,0,0,0,0,100000,2020-1
KH-0000000028,0,0,0,0,141512,0,0,0,0,0,0,100000,2020-1
KH-0000000029,0,0,0,0,0,0,0,22680,0,0,0,100000,2020-1
KH-0000000030,0,0,0,50000,68000,0,0,0,0,0,0,100000,2020-1
KH-0000000031,0,125130,124160,812556,1039347,0,194000,1145799,4247618,0,0,1900000,2020-1
KH-0000000032,66000,150000,55000,519440,827715,0,0,244350,168800,737560,0,300000,2020-1
KH-0000000033,30000,25000,94718,449170,303929,0,150000,166587,273820,192000,80000,400000,2020-1
KH-0000000034,0,0,0,0,0,0,0,0,752452,0,0,500000,2020-1
KH-0000000035,0,65000,0,0,222072,0,0,0,142590,0,0,200000,2020-1
KH-0000000036,0,0,126000,0,0,0,0,0,0,0,0,100000,2020-1
KH-0000000037,0,14000,0,0,0,0,0,4800,0,0,0,100000,2020-1
KH-0000000038,0,75660,0,53350,2201926,0,0,92990,570446,0,67900,1100000,2020-1
KH-0000000039,0,45590,0,0,0,0,0,0,93120,120503,0,100000,2020-1
KH-0000000040,0,0,0,60000,36250,0,0,18570,0,0,0,200000,2020-1
KH-0000000041,43650,0,276450,332324,432590,0,77600,217457,198541,555519,0,1100000,2020-1
KH-0000000042,0,0,0,0,216999,0,0,0,0,0,0,100000,2020-1
KH-0000000043,441000,0,0,0,276215,0,0,26280,60000,286650,382000,200000,2020-1
KH-0000000044,0,0,0,0,623850,0,0,0,0,1559350,0,200000,2020-1
KH-0000000045,0,230000,46000,46068,0,0,0,12000,100000,148920,50000,400000,2020-1
KH-0000000046,576180,737200,171720,694648,629017,0,269660,332010,339019,581505,0,1600000,2020-1
KH-0000000047,0,0,0,0,280882,0,0,0,81626,0,0,100000,2020-1
KH-0000000048,0,62000,0,45000,32640,0,0,0,0,0,64000,200000,2020-1
KH-0000000049,0,105350,29000,35000,0,0,0,181615,371070,343000,0,300000,2020-1
KH-0000000050,0,0,0,202694,0,0,0,15200,44352,386120,0,200000,2020-1
KH-0000000051,0,150000,0,352000,503556,0,100000,29592,0,0,100000,700000,2020-1
KH-0000000052,0,220491,0,350033,876839,0,29100,370542,1874913,0,0,600000,2020-1
KH-0000000053,37000,0,90000,0,0,0,0,12900,0,0,0,100000,2020-1
KH-0000000054,0,0,35000,109250,406700,0,0,186764,585408,0,0,400000,2020-1
KH-0000000055,96030,683850,110580,63381,0,0,0,33174,475654,596487,0,400000,2020-1
KH-0000000056,0,525000,0,62000,277735,0,0,143568,309266,0,0,300000,2020-1
KH-0000000057,175000,0,142000,86000,0,0,48000,0,0,0,218000,100000,2020-1
KH-0000000058,0,0,0,0,0,16940,0,20405,65190,0,0,100000,2020-1
KH-0000000059,42680,542520,193710,657420,422807,0,48500,222905,319200,566558,135800,500000,2020-1
KH-0000000060,0,0,0,0,297317,0,0,0,148989,0,0,200000,2020-1
KH-0000000061,0,20000,0,0,0,0,0,111640,124740,0,0,100000,2020-1
KH-0000000062,0,213000,0,0,0,0,0,0,0,0,0,100000,2020-1
KH-0000000063,0,968225,136770,566674,0,0,1206195,137582,0,0,0,900000,2020-1
KH-0000000064,0,0,0,350000,0,0,0,50280,0,0,0,100000,2020-1
KH-0000000065,1513200,0,0,291000,4000705,0,0,0,0,0,1730222,800000,2020-1
KH-0000000066,0,0,0,0,0,0,0,68530,100000,69360,0,200000,2020-1
KH-0000000067,0,217280,0,634994,459297,0,48500,294176,1244107,293852,31040,400000,2020-1
KH-0000000068,32000,0,0,0,0,0,0,0,96768,52000,0,100000,2020-1
KH-0000000069,0,0,0,9000,32424,0,0,45630,0,0,0,200000,2020-1
KH-0000000070,0,110500,162000,0,135000,0,0,0,0,0,0,100000,2020-1
KH-0000000071,0,0,0,144050,152750,0,0,0,0,78120,0,100000,2020-1
KH-0000000072,0,500000,0,375000,472350,0,0,0,595000,0,0,100000,2020-1
KH-0000000073,0,38800,0,260930,495971,83420,77600,379990,1403861,186065,0,300000,2020-1
KH-0000000074,0,86000,0,0,0,0,0,0,0,0,0,200000,2020-1
KH-0000000075,0,0,0,0,0,0,0,0,195000,59160,79000,200000,2020-1
KH-0000000076,0,22000,0,112660,854270,0,275000,5600,157824,132720,0,200000,2020-1
KH-0000000077,0,0,0,0,0,0,50000,0,0,0,0,100000,2020-1
KH-0000000078,15000,99000,65000,521190,204213,0,0,157431,320233,271500,0,500000,2020-1
