code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,52000,250000,61040,310900,3181664,0,0,133207,84390,310560,164000,700000,2020-8
KH-0000000002,52000,62000,0,283200,2397674,0,0,54680,397500,509640,52000,600000,2020-8
KH-0000000003,0,0,0,0,2108160,0,0,0,0,0,0,300000,2020-8
KH-0000000004,0,623225,0,189109,2091476,0,19400,311919,607169,1567112,0,1300000,2020-8
KH-0000000005,170720,385090,39770,1072045,2033972,97000,50440,473878,971317,591371,0,2300000,2020-8
KH-0000000006,0,73000,0,135000,1881285,0,0,14246,257250,0,0,300000,2020-8
KH-0000000007,266750,99910,0,627454,1856619,0,163445,81386,637286,844420,0,700000,2020-8
KH-0000000008,53350,19400,156170,52962,1846398,0,43650,153650,770259,164240,97000,700000,2020-8
KH-0000000009,0,60140,126100,216310,1831253,56745,853600,458932,159593,678661,0,400000,2020-8
KH-0000000010,74000,0,0,0,1815924,0,0,71360,0,200000,0,300000,2020-8
KH-0000000011,0,0,0,10800,1763386,0,18000,48719,66600,0,0,500000,2020-8
KH-0000000012,0,0,0,0,1712075,0,0,29274,0,0,0,100000,2020-8
KH-0000000013,0,0,9700,0,1681101,0,0,73124,0,0,0,600000,2020-8
KH-0000000014,0,0,0,370000,1590573,0,20000,0,75330,0,50000,300000,2020-8
KH-0000000015,222130,0,106700,803281,1482510,0,0,362517,624813,413046,0,1200000,2020-8
KH-0000000016,286150,0,0,378956,1426469,98213,0,140981,176501,0,77600,400000,2020-8
KH-0000000017,179000,267500,0,0,1400078,0,92000,55563,211680,0,0,400000,2020-8
KH-0000000018,46560,62080,36860,0,1392893,0,0,185898,0,123180,0,800000,2020-8
KH-0000000019,0,135800,61110,224070,1381286,112763,50440,0,206174,105924,0,500000,2020-8
KH-0000000020,1645120,196658,161020,1004707,1369817,0,144530,367037,528573,1491413,694520,1000000,2020-8
KH-0000000021,324950,115915,137140,180871,1306016,0,289060,434620,538669,430428,0,1700000,2020-8
KH-0000000022,0,311000,88000,252000,1305674,0,10000,267389,765172,254440,0,1000000,2020-8
KH-0000000023,0,152950,136800,0,1279936,0,47975,643745,572906,272631,0,400000,2020-8
KH-0000000024,0,0,0,425006,1274859,97970,0,371736,929803,1053420,63050,500000,2020-8
KH-0000000025,280752,0,0,299469,1268455,0,0,0,0,0,49779,300000,2020-8
KH-0000000026,0,0,0,0,1264798,0,29100,0,0,0,0,200000,2020-8
KH-0000000027,0,0,47530,433348,1254007,0,0,204327,795432,369007,0,1400000,2020-8
KH-0000000028,0,0,0,897470,1239089,0,60000,281899,327490,0,0,1100000,2020-8
KH-0000000029,288090,1794500,356960,505370,1230472,0,63050,526999,836007,1020284,266750,900000,2020-8
KH-0000000030,150000,170000,0,0,1221430,0,0,66700,0,0,0,100000,2020-8
KH-0000000031,0,0,0,0,1143990,0,0,0,0,0,0,100000,2020-8
