code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,407400,111550,222130,839137,2664192,0,242500,515888,0,3311456,491790,2200000,2020-10
KH-0000000002,1094330,0,106700,295632,934682,0,0,51808,645748,2178581,0,1200000,2020-10
KH-0000000003,35150,673075,105450,975347,1451551,0,0,669330,0,1964344,74100,2000000,2020-10
KH-0000000004,14550,0,85000,51950,107201,0,271600,282820,0,1428426,120000,400000,2020-10
KH-0000000005,0,0,0,1694900,431450,0,104000,0,250320,1425690,0,400000,2020-10
KH-0000000006,384120,0,106700,672249,2626415,0,0,537120,509017,1358873,211460,1200000,2020-10
KH-0000000007,336020,200190,77870,1138590,1183093,0,102690,796944,1660268,1285044,0,1800000,2020-10
KH-0000000008,1832200,0,33950,1561593,182154,0,157850,1058099,151603,1170381,98800,2200000,2020-10
KH-0000000009,0,0,0,0,0,0,0,0,0,1127000,0,100000,2020-10
KH-0000000010,0,90000,0,45391,718551,0,0,210810,0,1108360,0,100000,2020-10
KH-0000000011,42680,0,0,0,336542,0,0,0,651083,1039161,0,100000,2020-10
KH-0000000012,387030,358900,203545,484030,1534380,0,329315,588501,1577785,964179,75660,900000,2020-10
KH-0000000013,0,310400,6559,582850,191468,0,9700,82593,0,946788,0,300000,2020-10
KH-0000000014,298760,0,543840,38800,483172,0,213400,50794,610528,930211,0,1700000,2020-10
KH-0000000015,0,375000,0,566471,531820,0,220000,118900,539700,922860,0,400000,2020-10
KH-0000000016,0,516525,0,134830,4221707,0,0,223797,531988,901421,0,1200000,2020-10
KH-0000000017,0,0,0,210000,0,0,0,132450,0,895950,0,200000,2020-10
KH-0000000018,108900,215779,271577,590947,372485,0,0,168005,1903577,889417,171000,800000,2020-10
KH-0000000019,0,394305,72886,319130,266022,0,84390,112303,1102015,881594,67900,800000,2020-10
KH-0000000020,0,240000,0,603000,799135,0,33000,331697,418596,880500,35000,900000,2020-10
KH-0000000021,57950,51300,242250,51300,1168101,0,0,775251,418936,857787,0,400000,2020-10
KH-0000000022,111000,0,0,704348,2054038,0,95000,851763,860304,847550,37830,800000,2020-10
KH-0000000023,0,16000,0,210000,315920,0,0,80977,0,820300,52000,300000,2020-10
KH-0000000024,0,0,486494,51410,707480,0,0,0,252879,798782,135800,200000,2020-10
KH-0000000025,0,200000,35000,110000,64460,0,112500,293140,194118,795860,0,800000,2020-10
KH-0000000026,0,1571400,327786,273650,212675,0,0,975387,760429,754485,0,1200000,2020-10
KH-0000000027,42680,0,135800,420883,611377,0,249775,114289,636495,724828,0,1200000,2020-10
KH-0000000028,195000,0,0,176000,0,0,0,99986,399830,714720,120000,600000,2020-10
KH-0000000029,135000,28000,0,712440,2592572,0,0,376351,1622922,712400,0,1600000,2020-10
KH-0000000030,567150,175750,0,254600,2250333,0,0,201220,614514,708358,0,600000,2020-10
KH-0000000031,44000,119000,171000,327700,284017,0,298000,192741,1012886,694960,0,300000,2020-10
KH-0000000032,0,0,0,0,0,0,0,0,0,684665,0,100000,2020-10
KH-0000000033,0,0,0,15000,0,0,0,83580,441430,666300,0,200000,2020-10
KH-0000000034,0,261900,67900,2011490,2707751,0,0,158182,521796,664585,130950,1000000,2020-10
KH-0000000035,142500,490930,175750,553577,604258,0,0,412122,1331055,662160,0,500000,2020-10
KH-0000000036,74000,0,0,318000,0,0,0,152177,397150,647440,0,500000,2020-10
KH-0000000037,31040,50440,0,60140,208734,0,0,173672,115358,643828,31040,600000,2020-10
KH-0000000038,0,0,0,327805,272215,0,48000,85335,0,639060,0,400000,2020-10
KH-0000000039,100880,78570,126100,640200,470291,0,554840,367415,497669,635932,0,1200000,2020-10
KH-0000000040,0,405650,0,420407,54929,0,46550,247460,901674,613468,104500,600000,2020-10
KH-0000000041,0,0,0,217000,0,0,0,18756,52560,590600,136000,300000,2020-10
KH-0000000042,0,427500,707541,376276,825608,0,0,555737,1200200,583329,0,1100000,2020-10
KH-0000000043,0,60140,0,855540,573285,0,53350,49363,293823,574046,50440,700000,2020-10
KH-0000000044,284000,204000,25000,474000,675206,0,383000,247527,50568,567920,0,500000,2020-10
KH-0000000045,0,0,0,0,190130,0,240560,0,329315,566402,48500,200000,2020-10
KH-0000000046,0,0,0,449940,0,0,0,0,55300,562600,0,200000,2020-10
KH-0000000047,0,23000,0,112000,169735,0,0,193745,203680,560520,0,200000,2020-10
KH-0000000048,71780,0,0,549819,1152418,0,0,260107,1181354,555092,0,1100000,2020-10
KH-0000000049,0,160000,0,451880,222080,0,0,81166,482942,541220,0,700000,2020-10
KH-0000000050,110000,34000,273000,937180,4083147,0,0,637803,1612142,532360,50000,1200000,2020-10
KH-0000000051,30000,0,0,155000,553960,0,55000,108019,317980,529080,26000,500000,2020-10
KH-0000000052,0,0,0,161020,537836,0,176540,36666,1308258,524266,0,400000,2020-10
KH-0000000053,148000,140650,0,75328,0,0,53350,45169,49228,523218,0,300000,2020-10
KH-0000000054,0,359482,17654,318607,33950,0,145500,642636,1173511,522045,61110,1200000,2020-10
KH-0000000055,0,25000,0,0,36480,0,344000,49182,246060,521100,0,200000,2020-10
KH-0000000056,0,261900,0,348036,119223,0,0,414703,608330,517282,0,1200000,2020-10
KH-0000000057,0,50000,305000,35000,0,0,47000,83080,184800,513300,0,300000,2020-10
KH-0000000058,0,0,0,0,349725,0,0,0,0,507846,0,200000,2020-10
KH-0000000059,0,0,0,0,0,0,0,0,0,500570,0,100000,2020-10
KH-0000000060,86330,769079,173630,312631,764458,0,39770,363518,137964,495337,0,800000,2020-10
KH-0000000061,0,463420,67900,72750,299145,0,50440,19388,0,489208,0,300000,2020-10
KH-0000000062,0,20000,0,0,67360,0,0,0,352800,485670,0,100000,2020-10
KH-0000000063,0,178000,0,0,73600,0,0,223641,0,477360,0,200000,2020-10
KH-0000000064,0,0,0,0,0,0,0,0,0,470400,35000,200000,2020-10
KH-0000000065,128000,0,0,0,142080,0,52000,81520,0,464360,0,100000,2020-10
KH-0000000066,0,0,59000,149400,0,0,0,35600,262920,462290,0,200000,2020-10
KH-0000000067,0,0,0,36639,199034,0,0,108078,196716,456016,0,300000,2020-10
KH-0000000068,0,0,0,33950,178618,0,0,10457,48766,453999,0,100000,2020-10
KH-0000000069,361810,72750,0,527680,64625,0,0,296273,316367,446782,131920,500000,2020-10
KH-0000000070,0,0,0,0,100300,0,20000,0,0,433380,0,100000,2020-10
KH-0000000071,0,0,0,0,38920,0,0,9420,0,431200,0,100000,2020-10
KH-0000000072,0,42000,0,206120,291742,0,0,60927,0,428350,0,200000,2020-10
KH-0000000073,0,0,76630,349782,230512,0,46560,184102,156985,422144,0,400000,2020-10
KH-0000000074,0,0,11640,73282,0,0,0,64727,0,421950,0,300000,2020-10
KH-0000000075,0,0,123000,214400,75310,0,0,0,243880,420000,50000,100000,2020-10
KH-0000000076,0,0,214000,167970,562056,0,0,170606,452040,417120,70000,700000,2020-10
KH-0000000077,0,167325,0,487327,89295,0,0,53578,0,416867,0,600000,2020-10
KH-0000000078,0,0,45000,40500,28305,0,0,118956,0,406060,0,200000,2020-10
KH-0000000079,0,0,26190,0,371566,0,0,114526,256161,405848,0,500000,2020-10
KH-0000000080,60000,0,0,0,0,0,0,0,0,403770,0,100000,2020-10
KH-0000000081,0,30000,0,73000,543589,0,55000,130385,120228,400860,0,500000,2020-10
KH-0000000082,0,0,21000,0,65880,0,0,149198,0,399900,0,200000,2020-10
KH-0000000083,52000,0,0,41000,307107,0,0,70400,100000,398858,0,500000,2020-10
KH-0000000084,0,29100,213400,266750,1214853,0,34400,111527,0,393071,0,600000,2020-10
KH-0000000085,0,0,32000,219007,278728,0,0,0,0,392000,0,200000,2020-10
KH-0000000086,0,0,0,0,108030,0,0,6786,47570,391680,0,300000,2020-10
KH-0000000087,0,0,0,266750,102136,0,0,199157,654011,390483,0,300000,2020-10
KH-0000000088,130950,0,58200,160050,1272422,0,0,20734,105604,388757,0,100000,2020-10
KH-0000000089,0,0,26000,176500,388955,0,0,99010,113354,375720,32000,400000,2020-10
KH-0000000090,0,0,125130,211421,0,0,0,11299,236284,373752,4850,300000,2020-10
KH-0000000091,118340,143560,300700,395878,1458738,0,0,100749,51265,369376,0,500000,2020-10
KH-0000000092,0,172175,0,0,146761,0,0,135007,560702,369279,0,500000,2020-10
KH-0000000093,0,0,8400,67600,536643,0,48000,409184,256284,366620,0,1000000,2020-10
KH-0000000094,0,0,4440,0,258615,0,0,49331,200000,361380,35000,200000,2020-10
KH-0000000095,0,0,0,0,0,0,0,9690,0,350760,0,100000,2020-10
KH-0000000096,0,0,0,36000,0,0,0,54180,68340,349340,0,100000,2020-10
KH-0000000097,0,0,0,0,0,0,0,0,0,346500,0,100000,2020-10
KH-0000000098,0,0,168000,120340,179010,0,150000,67658,0,344060,0,200000,2020-10
KH-0000000099,113490,0,404490,200790,174231,0,0,159987,1425426,342876,0,300000,2020-10
KH-0000000100,72000,63000,75000,265000,185227,0,25000,12704,290122,342100,0,200000,2020-10
KH-0000000101,115000,30000,118000,387000,0,0,35000,148134,104280,338600,0,100000,2020-10
KH-0000000102,146000,0,0,168440,246725,0,0,9344,62300,338000,0,400000,2020-10
KH-0000000103,0,804650,190000,194750,216550,0,14250,1278569,1332707,330857,0,1200000,2020-10
KH-0000000104,607000,178000,155000,285000,499230,0,100000,14352,0,327260,186000,200000,2020-10
KH-0000000105,0,0,0,250000,0,0,0,14752,57120,326957,0,100000,2020-10
KH-0000000106,0,435590,54550,755343,610193,0,122560,259839,285729,324447,0,1300000,2020-10
KH-0000000107,111000,0,0,0,0,0,0,79382,154920,320600,0,500000,2020-10
KH-0000000108,0,30000,63000,376500,0,0,0,40400,0,318000,0,200000,2020-10
KH-0000000109,0,58000,7000,50750,21880,0,0,102550,170970,316900,0,300000,2020-10
KH-0000000110,0,252200,98940,205058,0,0,0,212899,471179,311354,0,700000,2020-10
KH-0000000111,0,43870,0,619498,30806,0,0,185863,620071,311238,0,700000,2020-10
KH-0000000112,0,22000,71000,11000,292695,0,0,128972,124080,310200,50000,300000,2020-10
KH-0000000113,0,0,0,164900,368182,0,0,33136,259631,309585,0,100000,2020-10
KH-0000000114,0,0,0,0,0,0,0,0,0,308860,0,100000,2020-10
KH-0000000115,0,0,0,140000,0,0,40000,164800,448214,306900,0,200000,2020-10
KH-0000000116,474330,43650,232800,327860,1362520,0,160050,641505,440128,303028,79540,600000,2020-10
KH-0000000117,0,0,0,135800,0,0,0,51961,48195,302805,0,100000,2020-10
KH-0000000118,0,60000,89000,409634,321813,0,0,41866,0,301760,160000,600000,2020-10
KH-0000000119,0,523800,175570,0,0,0,0,0,111133,300894,0,200000,2020-10
KH-0000000120,55000,0,158000,361600,253708,0,0,83600,635670,300070,0,400000,2020-10
KH-0000000121,680000,136000,0,270000,0,0,825000,0,0,300000,70000,800000,2020-10
KH-0000000122,0,185000,0,350000,0,0,145000,20104,153600,296000,0,400000,2020-10
KH-0000000123,0,44620,0,0,0,0,0,0,0,293483,0,100000,2020-10
KH-0000000124,0,0,320100,120240,907619,0,50440,145664,213284,292358,0,900000,2020-10
KH-0000000125,181170,208550,377330,375002,841921,0,323010,126183,458626,291000,0,800000,2020-10
KH-0000000126,0,0,0,116730,205103,0,50440,20779,82450,289720,0,700000,2020-10
KH-0000000127,0,0,1800,109000,141680,0,0,134659,165490,284400,0,500000,2020-10
KH-0000000128,0,21000,0,19514,165328,0,0,110421,98280,284200,0,100000,2020-10
KH-0000000129,0,0,35000,307000,9863,0,0,45672,0,280000,0,100000,2020-10
KH-0000000130,0,146000,0,0,75055,0,24000,131782,0,278473,32000,300000,2020-10
KH-0000000131,0,0,0,0,0,0,0,21900,0,278000,0,200000,2020-10
KH-0000000132,0,0,0,50000,82532,0,80000,15616,53380,272630,0,200000,2020-10
KH-0000000133,0,0,0,0,289312,0,0,0,0,272434,0,100000,2020-10
KH-0000000134,66000,105000,59000,143000,399665,0,32000,193959,0,269080,150000,500000,2020-10
KH-0000000135,0,53350,6790,667381,68806,0,0,90657,248607,266750,120280,500000,2020-10
KH-0000000136,0,2184200,0,0,736364,0,0,205941,0,266750,0,300000,2020-10
KH-0000000137,81000,380000,0,45000,229619,0,0,28672,582720,265600,0,200000,2020-10
KH-0000000138,0,0,0,0,0,0,0,0,0,265100,0,200000,2020-10
KH-0000000139,0,0,29000,438000,236045,0,63000,37929,201180,260000,110000,500000,2020-10
KH-0000000140,0,0,0,26000,0,0,0,0,51156,256300,185000,200000,2020-10
KH-0000000141,0,0,0,57110,92225,0,0,54288,0,250960,0,200000,2020-10
KH-0000000142,0,0,47530,0,217595,0,0,14405,0,249891,0,200000,2020-10
KH-0000000143,0,0,0,0,919747,0,0,0,0,245000,156000,100000,2020-10
KH-0000000144,0,19400,96030,198850,405062,0,187210,428081,646361,243897,0,1300000,2020-10
KH-0000000145,22000,43460,0,369206,489990,0,48000,165617,198280,241680,13000,800000,2020-10
KH-0000000146,0,0,0,0,112500,0,55000,45600,200760,240720,0,100000,2020-10
KH-0000000147,0,0,0,353210,46332,0,0,111742,60860,237460,0,300000,2020-10
KH-0000000148,0,0,0,1085459,342525,0,0,57777,186473,234740,0,200000,2020-10
KH-0000000149,193000,0,0,207280,203410,0,145000,65084,100000,234200,0,200000,2020-10
KH-0000000150,22000,185000,0,130000,232700,0,0,8050,156800,234000,104000,100000,2020-10
KH-0000000151,0,46000,49000,160000,63750,0,0,145970,0,234000,0,400000,2020-10
KH-0000000152,35890,511675,265780,145529,0,0,0,410362,141164,233343,0,800000,2020-10
KH-0000000153,0,0,0,219545,17790,0,0,0,0,231539,0,100000,2020-10
KH-0000000154,0,253878,204670,218958,1397375,0,103790,424992,760388,230802,0,1000000,2020-10
KH-0000000155,0,0,0,0,0,0,0,0,0,229405,0,200000,2020-10
KH-0000000156,0,0,0,0,0,0,0,0,0,229400,0,100000,2020-10
KH-0000000157,0,0,0,38000,267685,0,0,82506,100000,225500,0,300000,2020-10
KH-0000000158,0,0,0,0,0,0,0,30126,262460,224640,0,200000,2020-10
KH-0000000159,0,0,22000,0,109840,0,65000,78750,0,223580,0,200000,2020-10
KH-0000000160,0,30000,0,34000,107932,0,208000,114719,135430,223440,0,500000,2020-10
KH-0000000161,0,0,0,0,0,0,10000,59800,117250,220740,0,100000,2020-10
KH-0000000162,0,0,164000,135000,1537394,0,107000,293015,0,217000,0,800000,2020-10
KH-0000000163,0,0,0,0,0,0,0,0,0,216840,0,100000,2020-10
KH-0000000164,0,0,0,42340,415216,0,0,0,0,216600,0,200000,2020-10
KH-0000000165,0,0,45000,0,24852,0,0,28325,0,216240,0,100000,2020-10
KH-0000000166,0,0,0,0,0,0,0,0,0,215600,0,100000,2020-10
KH-0000000167,0,0,0,0,78000,0,0,39143,0,215600,26000,100000,2020-10
KH-0000000168,0,106700,143909,626198,555324,0,0,129010,161881,215107,0,400000,2020-10
KH-0000000169,0,0,0,78989,0,0,47000,112754,782790,214880,0,300000,2020-10
KH-0000000170,0,0,0,397700,36860,0,0,20215,0,207638,0,200000,2020-10
KH-0000000171,0,185000,11000,0,0,0,0,30240,131920,202800,0,100000,2020-10
KH-0000000172,42680,169750,8963,306485,771546,0,166840,0,448089,201760,293910,1400000,2020-10
KH-0000000173,0,0,105000,501120,840237,0,264000,368180,884770,200000,100000,900000,2020-10
KH-0000000174,0,0,0,0,0,0,0,58604,73440,196560,0,100000,2020-10
KH-0000000175,20900,75630,51300,55451,938872,0,419425,375015,1567855,194047,0,2000000,2020-10
KH-0000000176,170000,139000,89000,165000,720931,0,152000,156565,792380,192000,0,700000,2020-10
KH-0000000177,0,0,26000,236320,382156,0,242000,218331,714396,192000,0,500000,2020-10
KH-0000000178,0,0,195000,73400,386748,0,0,118436,187194,192000,16000,200000,2020-10
KH-0000000179,0,92000,50000,0,0,0,0,16290,60000,192000,0,100000,2020-10
KH-0000000180,0,0,0,0,0,0,0,0,0,192000,0,100000,2020-10
