code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,220400,318725,60838,997289,898522,22953,148200,398553,2976313,2876705,0,1900000,2020-12
KH-0000000002,0,0,0,0,0,0,0,0,0,2557500,0,100000,2020-12
KH-0000000003,0,0,0,0,0,0,0,0,0,2472940,0,100000,2020-12
KH-0000000004,0,0,0,0,975510,29214,0,25851,250958,2388034,0,300000,2020-12
KH-0000000005,0,394480,10670,214240,103665,0,0,155809,811192,1704795,0,1400000,2020-12
KH-0000000006,0,25000,0,382210,327244,0,34000,166526,1025992,1589139,0,700000,2020-12
KH-0000000007,37000,112000,79000,111407,1805326,31191,52000,619218,679905,1338140,117000,500000,2020-12
KH-0000000008,0,0,0,132027,845327,0,65960,26175,215359,1283213,0,300000,2020-12
KH-0000000009,310130,247350,325660,808408,2827910,0,0,364036,241181,1153656,118150,1900000,2020-12
KH-0000000010,0,389975,0,277400,5246113,0,0,391528,940631,1119271,0,900000,2020-12
KH-0000000011,497610,2278460,220190,1845037,1951601,29430,0,1254133,1926396,1061248,184300,1400000,2020-12
KH-0000000012,0,184300,0,575650,0,0,0,3850,0,1043320,0,300000,2020-12
KH-0000000013,383800,236550,59261,1004009,1281903,24605,197600,965305,1809386,1042315,0,1900000,2020-12
KH-0000000014,0,157140,0,0,316161,0,226980,47762,53098,1016521,0,300000,2020-12
KH-0000000015,50440,203700,1344924,962541,350365,0,156170,282678,946572,992107,0,600000,2020-12
KH-0000000016,0,64000,65000,465000,885810,32560,65000,225400,989558,911620,69500,1200000,2020-12
KH-0000000017,623200,0,0,189696,709599,0,0,0,446500,900581,0,500000,2020-12
KH-0000000018,0,117260,180000,861678,369858,0,25000,290828,2021368,882480,0,900000,2020-12
KH-0000000019,0,24375,0,176000,0,0,0,0,0,847230,0,200000,2020-12
KH-0000000020,0,172175,63050,25220,429826,25159,82450,174176,371642,833967,406430,600000,2020-12
KH-0000000021,44620,0,193030,77600,297301,0,0,12571,927432,827992,0,1400000,2020-12
KH-0000000022,0,510000,79000,81000,1433279,0,0,722884,1266156,810450,0,200000,2020-12
KH-0000000023,0,119700,0,71250,1354868,0,45600,51045,674110,804536,47500,400000,2020-12
KH-0000000024,156170,0,194970,218250,1023828,0,0,402773,2796067,771597,0,1000000,2020-12
KH-0000000025,0,552900,260930,339500,442320,0,377330,17111,0,768531,33950,600000,2020-12
KH-0000000026,0,0,0,68000,0,0,110000,0,200000,765470,0,100000,2020-12
KH-0000000027,0,40000,11000,152080,787418,0,0,204735,1177292,764933,112000,300000,2020-12
KH-0000000028,0,0,53350,627377,204641,0,0,287747,1553227,759917,0,1000000,2020-12
KH-0000000029,0,0,0,0,0,0,0,0,0,756970,0,100000,2020-12
KH-0000000030,0,0,0,0,0,10249,0,39501,320930,753510,0,500000,2020-12
KH-0000000031,0,0,59000,135000,130350,0,52000,77350,531490,736700,0,200000,2020-12
KH-0000000032,0,266950,24700,280250,606883,0,0,236527,949336,736383,0,200000,2020-12
KH-0000000033,63050,0,0,554074,1476221,15253,184300,227125,904110,736230,256080,700000,2020-12
KH-0000000034,0,0,167000,306810,157455,0,0,169136,59302,709160,0,300000,2020-12
KH-0000000035,0,967100,85500,34200,276332,32268,0,823196,680493,692883,0,1000000,2020-12
KH-0000000036,0,0,0,0,0,0,0,0,248514,690060,0,100000,2020-12
KH-0000000037,85000,18860,130000,76000,0,0,0,61132,232428,644860,100000,500000,2020-12
KH-0000000038,0,0,0,0,106826,0,0,0,0,644701,33950,100000,2020-12
KH-0000000039,152000,745750,114000,508120,260358,14060,186200,252439,996842,629765,0,1500000,2020-12
KH-0000000040,33950,0,0,486805,80753,0,39100,210391,1480462,628463,0,1100000,2020-12
KH-0000000041,15000,0,79000,219100,1991705,0,0,72066,499888,625300,255000,500000,2020-12
KH-0000000042,0,0,0,0,380275,0,0,0,0,612160,0,200000,2020-12
KH-0000000043,0,0,0,375390,147653,0,0,41555,72556,609926,0,200000,2020-12
KH-0000000044,0,0,0,0,0,0,0,0,0,590700,0,100000,2020-12
KH-0000000045,0,13580,3600,184844,171360,0,0,473618,541844,534229,0,800000,2020-12
