code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,0,110144,0,189150,3959579,0,0,0,0,0,67900,500000,2020-4
KH-0000000002,0,878750,0,356250,2887186,0,0,0,0,167238,0,400000,2020-4
KH-0000000003,0,73000,0,69386,2466252,0,50440,158757,94896,80400,78080,700000,2020-4
KH-0000000004,510220,0,324950,625067,2331730,0,193620,555614,1981461,730410,0,800000,2020-4
KH-0000000005,0,0,0,34047,2331251,0,0,0,0,0,0,100000,2020-4
KH-0000000006,0,0,14550,610384,2096902,0,62080,171124,895883,1199231,31040,600000,2020-4
KH-0000000007,0,0,33950,219193,1994421,0,49000,21693,0,776264,50000,700000,2020-4
KH-0000000008,191090,110580,43650,44620,1892869,0,220190,138760,1445277,174561,0,600000,2020-4
KH-0000000009,21340,955880,110580,48500,1864111,0,0,74441,0,376615,25220,500000,2020-4
KH-0000000010,0,215340,33950,1201394,1790198,0,594610,1912296,0,0,0,1000000,2020-4
KH-0000000011,64020,155200,601400,0,1579815,0,19400,0,490921,666002,111550,400000,2020-4
KH-0000000012,0,0,61110,106797,1576039,0,0,0,0,0,0,500000,2020-4
KH-0000000013,0,0,0,268836,1413648,0,92150,36664,156306,0,33950,700000,2020-4
KH-0000000014,0,0,0,0,1387500,0,135000,0,95000,0,0,300000,2020-4
KH-0000000015,320100,0,0,0,1348670,0,0,184024,781753,318383,0,700000,2020-4
KH-0000000016,0,0,0,126343,1295228,0,0,62928,195552,0,0,700000,2020-4
KH-0000000017,0,68870,50440,357785,1267404,53350,246380,134708,395474,73332,0,1100000,2020-4
KH-0000000018,0,150000,0,15000,1244750,0,0,0,0,124640,0,500000,2020-4
KH-0000000019,195000,0,0,127000,1234290,82450,10000,0,101760,115010,37830,700000,2020-4
KH-0000000020,0,121250,0,0,1210674,0,40500,34945,0,169100,0,400000,2020-4
KH-0000000021,0,0,0,307706,1160740,0,0,0,0,1036946,0,300000,2020-4
KH-0000000022,60000,0,0,0,1131415,0,0,37937,88320,928560,0,400000,2020-4
KH-0000000023,0,369000,0,0,1064260,0,0,40705,0,0,725000,300000,2020-4
KH-0000000024,0,11640,90210,490820,1047398,0,0,242338,86375,0,0,700000,2020-4
KH-0000000025,0,0,0,0,1037425,0,0,0,0,0,970000,300000,2020-4
KH-0000000026,0,0,0,125000,1010270,0,0,36220,0,0,0,400000,2020-4
KH-0000000027,0,0,0,0,959774,0,0,184725,0,0,0,300000,2020-4
KH-0000000028,79000,150000,80000,10000,951234,55000,197000,0,0,0,50000,400000,2020-4
KH-0000000029,189150,0,0,0,949936,0,0,0,0,0,33950,200000,2020-4
KH-0000000030,378300,162960,184300,666347,895691,0,0,188153,853123,1128441,59170,800000,2020-4
KH-0000000031,0,0,0,0,889475,0,0,0,0,0,0,400000,2020-4
KH-0000000032,0,177500,26190,0,883968,0,0,40449,0,0,16000,300000,2020-4
KH-0000000033,0,22000,0,45000,857290,0,95700,44375,2519226,0,0,1800000,2020-4
KH-0000000034,187210,53835,74913,259940,818885,92150,95060,593751,1062897,366214,0,1800000,2020-4
KH-0000000035,0,150000,0,190000,816275,0,30000,0,80409,886160,0,500000,2020-4
KH-0000000036,0,52950,60000,0,815303,95000,0,44115,0,497015,35000,500000,2020-4
KH-0000000037,34000,0,0,65000,800320,0,0,184994,100000,0,0,900000,2020-4
KH-0000000038,93120,145500,36036,993305,799395,64020,0,476251,175901,519959,101850,1600000,2020-4
KH-0000000039,0,0,0,232800,794703,0,111550,0,29801,0,0,400000,2020-4
KH-0000000040,0,211000,89000,17985,785694,0,0,165372,123620,84000,52000,700000,2020-4
KH-0000000041,0,0,0,66930,761243,0,67900,174264,0,91840,0,300000,2020-4
