code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,25220,0,85360,53350,0,0,0,0,0,282096,0,100000,2020-6
KH-0000000002,0,0,0,0,276000,0,0,0,0,0,0,100000,2020-6
KH-0000000003,0,0,0,97000,173000,0,32000,66289,0,0,0,200000,2020-6
KH-0000000004,0,21340,0,204670,662712,0,0,53282,173436,0,0,400000,2020-6
KH-0000000005,26000,0,0,0,284032,0,0,0,0,0,0,100000,2020-6
KH-0000000006,0,0,0,0,69230,0,32000,48000,0,192000,220000,100000,2020-6
KH-0000000007,0,1076700,0,161990,0,0,126585,0,0,0,61110,500000,2020-6
KH-0000000008,1234810,365690,221160,87300,172403,0,97000,253357,0,96903,0,1100000,2020-6
KH-0000000009,0,120000,0,51000,0,0,0,10688,248962,0,0,500000,2020-6
KH-0000000010,0,160000,65000,130000,260031,0,52000,16491,0,0,80000,300000,2020-6
KH-0000000011,0,0,0,206955,0,0,0,17072,0,0,33950,200000,2020-6
KH-0000000012,230860,0,0,57715,350806,0,194000,17717,56260,0,128040,600000,2020-6
KH-0000000013,92480,52380,208550,123339,389261,0,269660,54999,124677,337279,33950,500000,2020-6
KH-0000000014,0,0,0,0,144825,0,0,9620,0,0,0,100000,2020-6
KH-0000000015,0,0,0,315240,88573,0,0,11802,159002,97776,0,400000,2020-6
KH-0000000016,25000,16000,83000,30000,154875,0,32000,67524,518692,172000,70000,400000,2020-6
KH-0000000017,0,0,0,117613,298566,0,0,30512,392373,159652,0,400000,2020-6
KH-0000000018,0,0,0,0,108750,0,0,0,0,0,35000,100000,2020-6
KH-0000000019,30000,0,0,153901,290857,0,0,0,0,100000,0,200000,2020-6
KH-0000000020,0,74690,0,385449,634778,0,19400,167327,491000,636990,0,700000,2020-6
KH-0000000021,0,0,0,187598,575708,0,31040,197016,267565,182554,0,200000,2020-6
KH-0000000022,0,0,0,148807,0,0,9700,0,2211993,0,0,800000,2020-6
KH-0000000023,0,0,0,0,662042,0,0,13408,0,106820,0,200000,2020-6
KH-0000000024,0,0,0,470256,157485,0,0,0,0,0,0,200000,2020-6
KH-0000000025,90000,0,0,63000,0,0,0,14000,0,251680,0,200000,2020-6
KH-0000000026,0,0,0,0,1137188,0,67900,0,0,236835,0,200000,2020-6
KH-0000000027,0,0,330000,0,0,0,0,0,0,0,0,100000,2020-6
KH-0000000028,0,0,0,130000,69382,0,0,20000,0,0,0,200000,2020-6
KH-0000000029,0,0,0,0,182160,0,0,0,0,0,0,100000,2020-6
KH-0000000030,0,553870,223100,108640,94775,0,50440,189179,404296,980860,0,1300000,2020-6
KH-0000000031,50000,0,0,120000,0,0,65000,50705,0,131400,0,100000,2020-6
KH-0000000032,0,52000,0,68050,0,0,0,82824,0,0,50000,400000,2020-6
KH-0000000033,338530,126100,52380,405596,786033,0,0,308654,659944,134442,0,1900000,2020-6
KH-0000000034,55290,0,0,58200,2258670,0,9700,0,1198547,0,0,900000,2020-6
KH-0000000035,0,0,146000,138578,0,0,0,0,0,0,32000,100000,2020-6
KH-0000000036,0,0,0,0,302866,0,0,0,234150,179800,0,100000,2020-6
KH-0000000037,0,0,0,0,0,0,0,22820,232260,309000,0,200000,2020-6
KH-0000000038,0,0,0,83440,0,0,0,0,0,0,120000,100000,2020-6
KH-0000000039,0,0,0,0,383690,0,0,0,0,0,0,100000,2020-6
KH-0000000040,87300,209520,2444,212296,530786,0,50440,280662,245617,156480,54320,900000,2020-6
KH-0000000041,100000,0,0,0,0,0,0,12190,0,92340,0,200000,2020-6
KH-0000000042,74000,0,0,0,0,0,0,0,0,0,0,100000,2020-6
KH-0000000043,125000,0,0,0,69000,0,0,0,0,104800,48000,100000,2020-6
KH-0000000044,0,0,0,120000,0,0,30000,307913,1186485,100000,0,200000,2020-6
KH-0000000045,0,29100,106700,140981,740540,0,0,256702,1655107,0,37830,800000,2020-6
KH-0000000046,0,919800,0,191096,175182,55000,0,135200,452056,904195,0,500000,2020-6
KH-0000000047,0,266000,27000,0,0,0,139000,0,0,52000,0,100000,2020-6
KH-0000000048,0,0,0,0,80908,0,9700,35827,204864,0,0,200000,2020-6
KH-0000000049,0,816740,0,556113,74714,80753,100880,222801,91878,194000,0,1300000,2020-6
KH-0000000050,0,0,0,0,23225,0,0,24541,0,30000,50000,100000,2020-6
KH-0000000051,0,0,0,55000,0,0,0,24288,94240,0,0,100000,2020-6
KH-0000000052,0,413220,179450,496733,854146,0,147440,437196,821722,575656,0,600000,2020-6
KH-0000000053,22000,145000,0,0,472485,0,0,0,0,0,30000,300000,2020-6
KH-0000000054,0,40000,135000,0,0,0,500000,0,0,183540,0,100000,2020-6
KH-0000000055,0,0,0,0,417060,0,156000,0,85000,0,140000,100000,2020-6
KH-0000000056,0,0,0,0,154546,0,0,0,0,0,0,100000,2020-6
KH-0000000057,0,15000,0,26155,0,0,0,0,0,0,0,200000,2020-6
KH-0000000058,0,0,0,0,365030,0,0,11824,0,0,48500,100000,2020-6
KH-0000000059,0,0,0,0,111365,0,12000,59409,0,0,0,200000,2020-6
KH-0000000060,0,15520,0,56454,0,0,0,0,0,0,0,100000,2020-6
KH-0000000061,280000,0,0,0,0,0,0,0,0,0,0,100000,2020-6
KH-0000000062,0,0,0,8730,0,0,0,46507,0,317102,0,100000,2020-6
KH-0000000063,29100,242500,267720,189635,0,0,315250,0,584231,132114,31040,200000,2020-6
KH-0000000064,0,0,0,0,1359945,0,0,103550,169000,0,70000,200000,2020-6
KH-0000000065,0,0,0,0,0,0,0,40500,268170,0,0,100000,2020-6
KH-0000000066,0,0,0,563300,0,0,20000,94328,238590,453235,0,300000,2020-6
KH-0000000067,0,0,0,25000,0,0,0,0,0,0,0,100000,2020-6
KH-0000000068,170000,66000,0,47058,86100,0,32000,20000,0,0,0,400000,2020-6
KH-0000000069,0,215000,0,109610,0,0,0,0,0,0,0,200000,2020-6
KH-0000000070,33000,45000,32000,0,0,0,0,0,0,0,0,100000,2020-6
KH-0000000071,0,235000,0,54347,0,0,0,0,0,0,0,100000,2020-6
KH-0000000072,33000,0,0,0,140000,0,0,40454,509422,216530,13000,400000,2020-6
KH-0000000073,71780,10670,24250,276820,282556,0,0,37825,195232,188044,0,300000,2020-6
KH-0000000074,0,0,0,113000,0,0,50000,0,198350,0,0,200000,2020-6
KH-0000000075,26000,0,79000,215000,70560,0,145000,0,0,0,35000,200000,2020-6
KH-0000000076,0,0,4190,225622,957528,0,0,0,0,585841,0,300000,2020-6
KH-0000000077,0,0,0,0,810555,0,0,0,0,0,0,300000,2020-6
KH-0000000078,275000,0,0,106689,497775,215000,241000,68790,0,0,0,400000,2020-6
KH-0000000079,0,0,0,0,0,0,52000,78015,0,0,0,100000,2020-6
KH-0000000080,0,0,0,130950,1004846,0,0,0,0,245157,33950,400000,2020-6
KH-0000000081,171690,723135,4074,77600,734887,0,436500,175409,0,0,50440,800000,2020-6
KH-0000000082,42680,42680,0,211460,346586,0,60140,150845,0,0,0,200000,2020-6
KH-0000000083,0,0,25000,0,0,0,31000,4830,0,52000,0,100000,2020-6
KH-0000000084,62000,243000,85000,0,0,0,0,57074,44835,0,35000,200000,2020-6
KH-0000000085,0,0,0,0,421350,0,0,0,0,0,0,100000,2020-6
KH-0000000086,0,62000,0,90000,0,0,0,12282,0,0,0,100000,2020-6
KH-0000000087,15000,0,0,104000,0,0,0,0,73500,422745,0,100000,2020-6
KH-0000000088,0,233770,184300,299769,36860,0,126585,55894,263549,267177,0,300000,2020-6
KH-0000000089,0,0,0,114945,0,0,0,20500,0,0,0,100000,2020-6
KH-0000000090,0,0,0,0,984057,0,0,0,0,0,65000,100000,2020-6
KH-0000000091,0,0,58000,29624,0,0,0,52348,0,0,0,100000,2020-6
KH-0000000092,0,0,0,95332,358529,90453,50440,195661,64971,0,0,700000,2020-6
KH-0000000093,0,0,0,116400,145476,0,0,39518,336105,0,0,200000,2020-6
KH-0000000094,0,0,0,0,0,0,0,36598,0,0,0,100000,2020-6
KH-0000000095,0,0,210000,0,0,0,0,0,0,0,50000,100000,2020-6
KH-0000000096,0,0,0,42000,0,0,0,24338,0,0,0,300000,2020-6
KH-0000000097,0,35000,105000,90000,52455,0,24000,0,0,0,35000,200000,2020-6
KH-0000000098,0,0,0,0,70000,0,0,225782,41440,371920,0,200000,2020-6
KH-0000000099,0,0,0,235710,0,0,150350,23105,330163,0,105730,200000,2020-6
KH-0000000100,0,0,70000,0,46322,0,0,0,63600,85020,0,100000,2020-6
KH-0000000101,0,0,0,15000,169975,0,0,133986,826434,291030,48000,600000,2020-6
KH-0000000102,0,0,0,0,426668,0,0,0,0,0,0,100000,2020-6
KH-0000000103,30000,250000,0,0,0,0,0,0,0,0,112000,200000,2020-6
KH-0000000104,0,0,0,0,0,0,0,8012,0,494700,46560,200000,2020-6
KH-0000000105,0,0,126000,0,50904,0,0,61441,172912,0,0,400000,2020-6
KH-0000000106,0,517010,0,167810,685131,0,0,236220,745410,211305,0,500000,2020-6
KH-0000000107,0,0,0,70000,134385,0,0,0,0,0,0,100000,2020-6
KH-0000000108,0,0,0,0,116313,0,0,0,0,0,0,100000,2020-6
KH-0000000109,0,0,0,33600,0,0,0,0,0,93000,0,100000,2020-6
KH-0000000110,30000,0,45000,150600,385940,0,0,53323,379500,414910,0,200000,2020-6
KH-0000000111,0,0,0,51000,0,0,0,15390,100000,97010,0,200000,2020-6
KH-0000000112,74000,0,79000,0,432018,0,0,49664,46136,0,158800,300000,2020-6
KH-0000000113,0,0,0,0,186660,0,0,0,0,0,0,100000,2020-6
KH-0000000114,30000,0,98000,12000,43500,0,0,13888,101400,0,0,100000,2020-6
KH-0000000115,0,0,0,0,0,0,20000,0,0,289940,0,100000,2020-6
KH-0000000116,0,0,0,0,358385,0,0,42120,0,0,0,300000,2020-6
KH-0000000117,0,0,0,124600,0,0,0,75176,0,0,0,300000,2020-6
KH-0000000118,30000,0,0,36900,79548,0,0,21042,0,0,100000,300000,2020-6
KH-0000000119,0,0,0,0,308518,0,0,42462,0,0,0,200000,2020-6
KH-0000000120,0,0,110000,0,189310,0,0,14820,0,564960,0,200000,2020-6
KH-0000000121,0,0,0,0,455295,0,0,12052,0,0,200000,300000,2020-6
KH-0000000122,138710,0,0,0,1329346,0,0,59306,512257,165996,0,500000,2020-6
KH-0000000123,0,34000,0,0,175800,0,0,0,0,0,0,100000,2020-6
KH-0000000124,10670,0,61110,422587,0,0,97485,43930,255556,0,191090,200000,2020-6
KH-0000000125,0,229890,17460,60259,904521,0,29100,36880,291000,595095,0,500000,2020-6
KH-0000000126,0,16150,56050,117019,1513392,104025,0,283156,1658229,2407989,30400,1200000,2020-6
KH-0000000127,0,0,0,45000,65232,0,0,11690,0,0,0,100000,2020-6
KH-0000000128,0,0,65000,218000,119929,0,0,22625,0,0,0,200000,2020-6
KH-0000000129,0,0,0,0,157386,0,0,0,0,0,0,100000,2020-6
KH-0000000130,0,0,0,95000,967870,0,0,14432,82620,0,0,200000,2020-6
KH-0000000131,30000,0,0,0,431844,0,0,0,0,0,0,200000,2020-6
KH-0000000132,15000,0,98000,290000,503616,119000,62000,146372,144806,218165,26000,600000,2020-6
KH-0000000133,149380,0,0,327185,237673,0,50440,29630,1333959,274025,48500,700000,2020-6
KH-0000000134,29000,0,0,0,208480,0,0,17920,0,0,32000,300000,2020-6
KH-0000000135,0,6000,0,0,0,0,0,42220,0,0,0,100000,2020-6
KH-0000000136,0,0,0,0,62544,0,0,0,0,0,0,100000,2020-6
KH-0000000137,322040,245410,37830,229890,1760242,104760,76145,189145,737084,863330,189150,1100000,2020-6
KH-0000000138,0,185000,70000,35000,49650,0,0,26705,88588,0,0,200000,2020-6
KH-0000000139,0,0,0,91908,71214,0,20000,68793,0,0,97000,600000,2020-6
